time,F: theta1,F: theta1dot,F: theta2,F: theta2dot,F: s,F: E,F: MotorEnable,T: y,T: dy,T: d2y,T: d3y,T: d4y
5.14,0.0,0.0,-0.16807520696705486,1.4418292433296156,0.0,3.208489116008148e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.16,0.0,0.0,-0.13430308594096438,1.6498362500839379,0.0,2.0486380959296495e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.18,0.0,0.0,-0.09817477042468169,1.788567935290147,0.0,1.0946947863924235e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.2,0.0,0.0,-0.060475658581604134,1.8879865736623012,0.0,4.153885048653264e-06,0.0,0.0,0.0,0.0,0.0,0.0
5.22,0.0,0.0,-0.021205750411731734,1.9469989907599394,0.0,5.107407995392727e-07,0.0,0.0,0.0,0.0,0.0,0.0
5.24,0.0,0.0,0.018064157758140673,1.9590924783490937,0.0,3.7061986688098775e-07,0.0,0.0,0.0,0.0,0.0,0.0
5.26,0.0,0.0,0.05733406592801307,1.9517289060583054,0.0,3.7335222506784094e-06,0.0,0.0,0.0,0.0,0.0,0.0
5.28,0.0,0.0,0.09503317777109063,1.8817380415823808,0.0,1.0257552875245474e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.3,0.0,0.0,0.1311614932873733,1.7884067670199781,0.0,1.9539163454526485e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.32,0.0,0.0,0.16414821615006636,1.6695626701688782,0.0,3.060311229722024e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.34,0.0,0.0,0.1932079481957722,1.47700609292745,0.0,4.23977918037267e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.36,0.0,0.0,0.21834068942449075,1.2705715318340611,0.0,5.414553079779266e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.38,0.0,0.0,0.23876104167282458,1.0287628845970578,0.0,6.47470805627143e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.4,0.0,0.0,0.2544690049407737,0.7806532681855632,0.0,7.354667513365114e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.42,0.0,0.0,0.2646791810649406,0.5182734086907753,0.0,7.956697100531198e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.44,0.0,0.0,0.2693915700453253,0.24702202975422638,0.0,8.242543803153987e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.46,0.0,0.0,0.26860617188192787,-0.009528809280102968,0.0,8.194552383718544e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.48,0.0,0.0,0.2615375884113508,-0.3199061927971411,0.0,7.768935050769171e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.2489712177969915,-0.5881449334968203,0.0,7.040306200946375e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.52,0.0,0.0,0.2316924582022475,-0.8431396651102825,0.0,6.0970120822911735e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.54,0.0,0.0,0.2089159114637213,-1.0931371532292808,0.0,4.957198355582804e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.56,0.0,0.0,0.18221237390820783,-1.307153455937144,0.0,3.770934539698233e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.58,0.0,0.0,0.15158184553570708,-1.5062626299095563,0.0,2.6096823102931586e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.6,0.0,0.0,0.11780972450961665,-1.671417870776461,0.0,1.576360492405053e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.62,0.0,0.0,0.081681408993334,-1.7904080944820353,0.0,7.577740038156872e-06,0.0,0.0,0.0,0.0,0.0,0.0
5.64,0.0,0.0,0.043982297150256464,-1.8686043972480186,0.0,2.1970962240809564e-06,0.0,0.0,0.0,0.0,0.0,0.0
5.66,0.0,0.0,0.00549778714378151,-1.9099105565283312,0.0,3.43296285012581e-08,0.0,0.0,0.0,0.0,0.0,0.0
5.68,0.0,0.0,-0.033772121026090896,-1.925351050949587,0.0,1.2954180224253686e-06,0.0,0.0,0.0,0.0,0.0,0.0
5.7,0.0,0.0,-0.07147123286916841,-1.8882454391038437,0.0,5.801707216714045e-06,0.0,0.0,0.0,0.0,0.0,0.0
5.72,0.0,0.0,-0.10838494654884852,-1.8253281035144064,0.0,1.3342315207716663e-05,0.0,0.0,0.0,0.0,0.0,0.0
5.74,0.0,0.0,-0.14215706757493893,-1.7053056789946703,0.0,2.295250937408135e-05,0.0,0.0,0.0,0.0,0.0,0.0
