,time,F: theta1,F: theta1dot,F: theta2,F: theta2dot
65,0.065,8.550211142363508e-05,0.0027451692357361745,-2.4757058840601256e-05,-0.0004888597433510458
66,0.066,8.826856324487948e-05,0.0027911838240250036,-2.5244443266459085e-05,-0.0004899839220627352
67,0.067,9.108313677748907e-05,0.002836260587974966,-2.5735392159958278e-05,-0.0004898639257380253
68,0.068,9.394362558640427e-05,0.0028814755333530437,-2.6227155150949764e-05,-0.0004897778766395059
69,0.069,9.68490998349776e-05,0.002927306724018637,-2.671849376688634e-05,-0.000490295023335698
70,0.07,9.97993895751893e-05,0.0029738889737674725,-2.720907305820378e-05,-0.0004915746300909614
71,0.07100000000000001,0.00010279508352942141,0.0030210144193384735,-2.7699460154618894e-05,-0.000493366655738863
72,0.07200000000000001,0.00010583752909045778,0.003068132520413757,-2.8191124265129516e-05,-0.0004950117536821772
73,0.073,0.00010892860583549653,0.0031144552704319454,-2.868616754605264e-05,-0.0004955662668497493
74,0.074,0.00011206766071681662,0.0031603543369170773,-2.918367285462329e-05,-0.0004954688069143681
75,0.075,0.00011525309448162806,0.003206608503075239,-2.9681583021105893e-05,-0.0004956501123269483
76,0.076,0.00011848417135079994,0.003253609233018745,-3.0178869498152004e-05,-0.0004965775263840175
77,0.077,0.00012176092048603813,0.003301410676746722,-3.067541693536669e-05,-0.0004983133345161699
78,0.078,0.00012508413598988523,0.0033497296701451122,-3.1172023179308515e-05,-0.0005005147642880666
79,0.079,0.0001284553769057207,0.0033979457349866712,-3.167039927348956e-05,-0.0005024339853984362
80,0.08,0.00013187671752771352,0.0034452152608804333,-3.217287175534129e-05,-0.0005030542435297731
81,0.081,0.0001353473604257659,0.0034919818466668854,-3.26783269611012e-05,-0.0005029006627871374
82,0.082,0.00013886540240580592,0.003539146965800226,-3.31843071094829e-05,-0.0005030571441821322
83,0.083,0.00014242992284048354,0.0035871822066606577,-3.368953103000767e-05,-0.0005040902820159486
84,0.084,0.0001460408869127726,0.003636179603632186,-3.4193781578028496e-05,-0.000506107774811518
85,0.085,0.00014969914561597093,0.0036858516371026245,-3.4697905634730054e-05,-0.0005087584253135125
